,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title,엔진결과_confidence
276,잘 처리 되었습니다,DialogAdapter,IT-0154,신고 처리 결과 불만족,1.0
277,[안전신문고] 해피콜 서비스 2021년 09월 08일에 귀하가 안전신문고로 접수한 신고 SPP-2109-0810347에 대해 답변 내용대로 조치가 완료되었는지요? 신고한 취지와 다르게 처리 결과를 답변받았거나  처리 지연  답변내용 불이행 등이 발생한경우 안전신문고로 재신고를 해주시기 바랍니다. (해피콜 서비스로 재신고를 하는 경우 당초 답변한 처리기관으로 자동이송됩니다.)  감사합니다.,DialogAdapter,IT-REPORTNUM,신고번호 메시지,1.0
278,완료되었습니다,DailyDialogAdapter,IT1603712928903001,고마워,1.0000000000000002
279,안전신문고 가입이 안됩니다,DialogAdapter,IT-0023,안전신문고 소개,0.7071067811865475
280,불법주차 신고할래,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.94
281,네,DialogAdapter,IT1632897711145001,네,1.0
282,신고사진이 차주에게 통보되나?,DialogAdapter,IT1610012062520001,익명보장 확인,1.0
283,대중교통 마스크미착용,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.816496580927726
284,버스 마스크미착용,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.816496580927726
285,SPP-21062507523,DialogAdapter,IT-REPORTNUM,신고번호 메시지,1.0
286,SPP-21062507523 처리 결과가 안나오네요,DialogAdapter,IT-REPORTNUM,신고번호 메시지,1.0
287,회사내 사고,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
288,사고신고,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
289,회사 내 사고,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
290,운전중 핸드폰 신고는 어떻케 하나요?,DialogAdapter,IT1610011536258001,법인 휴대폰 인증 문의,0.6666666666666669
291,횡단보도하고 교차로모퉁이 둘다 해당하면 과태료 얼마야?,DOUB API,IT1610007223559001,불법 주정차 과태료,1.0
292,4대 불법주정차 과태료 얼마야?,DialogAdapter,IT1610007223559001,불법 주정차 과태료,0.92
293,불법주정차신고기준,DialogAdapter,IT-0022,불법주정차 신고 대상,1.0
294,안전신고,DialogAdapter,IT1607320056137001,안전 신고 유형 안내,0.9999999999999998
295,이륜차 번호판 훼손시 과태료 부과 어떻게해?,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.97
296,교차로 모퉁이 흰색실선 주정차,DialogAdapter,IT1607320490320001,교차로 모퉁이 불법주정차 신고 안내,0.7745966692414834
297,교차로 모퉁이 주정차,DialogAdapter,IT1607320490320001,교차로 모퉁이 불법주정차 신고 안내,0.94
298,오토바이 단속기간이라는데 번호판이 없는경우와  가려진경우는 어떻게 신고하며 과태어떻게료를 물을수있나요,DOUB API,IT1607321117030001,기타 불법주정차 신고 안내,1.0
299,답변이 적절했나요?,DialogAdapter,IT1620799745019001,응답 불만족,1.0
300,ㅅㅈㅅㄷㄴㅈㄴㅈㅅ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
301,ㅅㄷㄴㅈㅅ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
302,신고처리 늦어요,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.9999999999999998
303,번개가 치네,DialogAdapter,IT-0037,낙뢰 국민안전행동요령,1.0
304,비가 많이 오네,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
305,신고할때 번호판 번호를 입력하게 돼있는데 번호판이 가려져있는 이륜차들이 태반이라 신고가 불가능합니다 어떻게 신고하나요,DOUB API,IT-0158,유선전화 신고 문의,1.0
306,상봉중앙로6가길 6,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
307,도로,DialogAdapter,IT1636677832720001,도로주정차선 안내,1.0
308,번호판 미부착 이륜차는 과태료 어떻게 부과해? 차대번호도 모르고 운전자도 모르잖아,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내,0.816496580927726
309,요즘에 많이 발생하는 안전사고는?,DialogAdapter,IT-0216,안전 뉴스 보기,0.816496580927726
310,이름은 누가 지었어?,DailyDialogAdapter,IT1603689041167001,제작원리,0.8660254037844388
311,왜 이름이 언신봇이야?,DOUB API,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
312,오토바이 불법튜닝은 안전신문고 어디에 신고하나요,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.6708203932499369
313,번호판 없는 이륜차는 어떻게 신고하나요?,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.6666666666666669
314,번호판미부착,DialogAdapter,IT1607320239691001,교통위반 신고 안내,1.0000000000000002
315,레카차 단속 강화 부탁,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.7745966692414834
316,번호판없는 이륜차 신고,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.6666666666666669
317,번호판을 부착하지 않는 등 불법이륜차,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.8660254037844388
318,코로나 무료검사소,DialogAdapter,IT1604366509372001,코로나19 선별진료소 문의,0.816496580927726
319,산에서 주의할것,DialogAdapter,IT-0105,산행 안전 국민안전행동요령,0.7071067811865475
320,캠핑주의사항,DialogAdapter,IT-0126,야영장 안전 국민안전행동요령,1.0000000000000002
321,이륜차 번호판,DialogAdapter,IT1607320239691001,교통위반 신고 안내,1.0
322,불법이륜차잡을생각보다 너네 싸이카 불법추차나 해결하고잡지?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
323,ㅋ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
324,퇴근하고싶다,DailyDialogAdapter,IT1603700858884001,귀가하고싶음,1.0000000000000002
325,안녕,DialogAdapter,IT-0018,환영인사,1.0
326,문재인,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
327,자살,DialogAdapter,IT-0123,자살 징후,0.7071067811865475
328,집에가고싶다,DailyDialogAdapter,IT1603700858884001,귀가하고싶음,1.0000000000000002
329,아니요,DialogAdapter,IT1632897711145001,네,1.0
330,아니요,DialogAdapter,IT1632897711145001,네,1.0
331,아니요,DialogAdapter,IT1632897711145001,네,1.0
332,이륜차 번호판 미부착 신고는 어떻게 하나요?,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.8164965809277261
333,번호판 미부착 이륜차는 신고자체가 안되던데요,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.8164965809277261
334,번호판 미부착,DialogAdapter,IT1607320239691001,교통위반 신고 안내,1.0000000000000002
335,이륜오토바이 번호판없는건 어떴게 신고합니까,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.7745966692414834
336,번호판미부착 이륜자동차 신고는 어떻게 하나요?,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.8164965809277261
337,무슨신고할수 있어?,DialogAdapter,IT-0020,신고 안내,0.9999999999999998
338,앱에서 영상 촬영을 눌르면 영상 화질이 너무 안좋게 나와요,DOUB API,IT-0215,홍보영상 보기,1.0
339,신호등고장,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.9999999999999998
340,스마트폰 사진  첨부 방법,DOUB API,IT-0192,신고 촬영 방법 안내,1.0
341,신고접수알림이안와요,DialogAdapter,IT-0208,알림 수신함,0.7071067811865475
342,안신봇 개선 필요?목소리를 못 듣네,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
343,답답,DialogAdapter,IT1620799745019001,응답 불만족,0.7071067811865475
344,목소리 들리나,DailyDialogAdapter,IT1603702599256001,대답,0.9999999999999998
345,응답하라,DailyDialogAdapter,IT1603702599256001,대답,0.9999999999999998
346,담당자 연결,DialogAdapter,IT-0221,안신앱 운영센터 전화 연결,1.0
347,SPP-2110-0308931,DialogAdapter,IT-REPORTNUM,신고번호 메시지,1.0
348,신고했지만 말도안되는 이유로 불수용된경우는 어디에 신고해?,DialogAdapter,IT1610006627385001,신고 불수용 문의,0.816496580927726
349,설문지작성,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
350,번호판 훼손 이륜차 신고 방법,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.6324555320336758
351,네 알겟습니다 늘수고가많으세요 이용하겟습니다 수고하세요,DialogAdapter,IT-0019,종료인사,0.8164965809277261
352,산사태,DialogAdapter,IT-0047,산사태 국민안전행동요령,1.0
353,코로나백신 이상반응,DialogAdapter,IT-0242,코로나19 치료법 문의,0.7071067811865475
354,오늘 코로나 확진자 수,DialogAdapter,IT-0224,코로나 발생동향,1.0
355,여기에 신고할수있어?,DialogAdapter,IT-0020,신고 안내,1.0
356,그만,DialogAdapter,IT-0019,종료인사,1.0
357,왜이래 챗봇이. 대화 롤 전혀 이해 못 하고 안내만 답변하네요,DOUB API,IT-0018,환영인사,1.0
358,볼라드 신고는 어떻게해?,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
359,내일 날씨어때?,DailyDialogAdapter,IT1618298298301001,날씨,0.816496580927726
360,개선하세요.  사진촬영 너무 찍어서 불편,DOUB API,IT-0192,신고 촬영 방법 안내,1.0
361,그런 대답 필요한 거 아닌데,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
362,장애인 주차 및 불법 주정차 신고 시  사진을 너무 만이 찍어서 불편하네,DialogAdapter,IT1631089823931001,장애인전용주차구역 불법 주차 신고 사진 촬영,0.6299407883487119
363,로긴없이 챗봇,DOUB API,IT-0018,환영인사,1.0
364,신고를 할 수 있는 범위 머지?,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
365,도로변 악취,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.7071067811865475
366,맨홀근처 악취,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,1.0000000000000002
367,악취,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,1.0
368,싱크홀,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.7071067811865475
369,백신접종 후 이상증상 신고,DialogAdapter,IT1615447411189001,코로나 유증상자 유의사항,1.0000000000000002
370,신고 후 처리 진행,DialogAdapter,IT-0152,신고 내역 조회,0.8660254037844388
371,신고 후 처리방법,DialogAdapter,IT1610007855287001,신고 처리 기관 문의,0.7071067811865475
372,집합금지위반사례,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.8660254037844388
373,신고방법,DialogAdapter,IT1620715040970001,비긴급 신고,0.816496580927726
374,사진으로만 신고가 가능한가요?,DialogAdapter,IT-0020,신고 안내,0.816496580927726
375,신고를 어떻게하나요?,DialogAdapter,IT-0020,신고 안내,0.94
376,위반자인적사항 파악은 어떻게?,DialogAdapter,IT-0224,코로나 발생동향,1.0
377,안신봇,DialogAdapter,IT-0018,환영인사,1.0
378,안신봇 앱 다운 로드,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
379,스쿨존불법주정차신고방법,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내,0.8944271909999159
380,도움되었어요.,DialogAdapter,IT-0179,도움말 요청,0.7071067811865475
381,앞으로 많이 이용할께요  감사합니다  늘  건행,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
382,좋은정보 고마워요~,DailyDialogAdapter,IT1603712928903001,고마워,1.0000000000000002
383,고맙습니다,DailyDialogAdapter,IT1603712928903001,고마워,0.9999999999999998
384,코로나 감염 치명율,DialogAdapter,IT-0239,코로나19 전염 경로 문의,0.816496580927726
385,오늘 확진자 수,DialogAdapter,IT-0224,코로나 발생동향,0.9999999999999998
386,사회적 안전망,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
387,사회적 안전망이란,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
388,어떻게 이런 정보를 알고 있니?,DailyDialogAdapter,IT1603712975127001,똑똑하다,0.9999999999999999
389,교통위반자 신고요령,DOUB API,IT1607320239691001,교통위반 신고 안내,1.0
390,코로나 예방수칙,DialogAdapter,IT-0031,코로나 예방 수칙 안내,1.0000000000000002
391,아직 많이 배워야 될거 같은데 어때?,DailyDialogAdapter,IT1603680883472001,공부,0.9999999999999999
392,할 수 있늘 일이 무엇이니?,DialogAdapter,IT-0179,도움말 요청,1.0
393,건강 수칙 좀 알려줘,DialogAdapter,IT-0205,추천 안전 뉴스,0.9999999999999998
394,최근 이슈가 되고 있는 뉴스 좀 알려주세요,DialogAdapter,IT-0205,추천 안전 뉴스,1.0000000000000002
395,태풍,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
396,홍제동,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
397,우리 사회는 건강한 사회니?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
398,누구니?,DailyDialogAdapter,IT1603689561868001,주인,0.8660254037844388
399,예,DialogAdapter,IT1632897711145001,네,1.0
400,예,DialogAdapter,IT1632897711145001,네,1.0
401,신고안내,DialogAdapter,IT-0020,신고 안내,1.0
402,신고후 완료까지 얼마나 걸릴까요?,DialogAdapter,IT1610008152088001,신고 처리 기간 문의,0.97
403,땡큐,DailyDialogAdapter,IT1603712928903001,고마워,1.0
404,비회원인데 신고 가능한가요?,DialogAdapter,IT-0020,신고 안내,0.816496580927726
405,ㅠㅠ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
406,코로나19 확진자 이동경로 세종특별자치시,DialogAdapter,IT-0241,코로나19 접촉자 문의,0.6324555320336758
407,가을산행주의 ?,DialogAdapter,IT-0105,산행 안전 국민안전행동요령,1.0
408,블랙박스영상으로 신고 가능한가요?,DialogAdapter,IT1610006585591001,블랙박스 신고 가능여부 문의,1.0
409,확진되면 어떻게?,DialogAdapter,IT-0230,코로나 자가격리자의 가족 및 동거인 유의사항,0.7071067811865475
410,ㅎㅎ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
411,코로나 확진상황,DialogAdapter,IT-0224,코로나 발생동향,0.6666666666666669
412,감사합니다,DailyDialogAdapter,IT1603712928903001,고마워,0.9999999999999998
413,방치차량,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내,0.816496580927726
414,오늘 확진자 몇명인가요?,DialogAdapter,IT-0224,코로나 발생동향,0.9999999999999998
415,무단 방치차량은 어디로 신고하나요,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내,0.93
416,비가 올때 대처방법,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,0.8944271909999159
417,코로나 4단계 행동요령,DialogAdapter,IT-0227,코로나 대상별 유의사항,0.7745966692414834
418,태풍피해,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,0.7071067811865475
419,태풍,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
420,지금 산에 가려면 준비해야하는게 있을까?,DialogAdapter,IT-0105,산행 안전 국민안전행동요령,0.97
421,캠핑주의사항,DialogAdapter,IT-0126,야영장 안전 국민안전행동요령,1.0000000000000002
422,코로나신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.9999999999999998
423,불법주정차사진,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.816496580927726
424,이면도로도 주정차위반신고 할수 있어?,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.7745966692414834
425,불법주정차신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
426,소화전 물건 방치,DialogAdapter,IT1607320457270001,기타 안전·환경 위험요인 신고 안내,1.0
427,아파트 소방시설 내 물건 방치 신고 가능할까요?,DOUB API,IT-0152,신고 내역 조회,1.0
428,불법광고물 신고 처리 완료된 문자를 받았습니다. 그러나 처리가 안되어 있습니다. 오떻게 된 건가요?,DOUB API,IT1606898609134001,불법광고물 신고 안내,1.0
